# https://coastal.er.usgs.gov/data-release/doi-F78W3C7W/
Location,Sub_location,Site_name,Data_source,Latitude,Longitude,Year,Taxon,Percent_cover
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2007,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2008,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2009,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2010,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2011,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2012,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2013,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2014,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2015,Acropora_prolifera,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,1999,Agaricia_agaricites_complex,0.04
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2000,Agaricia_agaricites_complex,0.12
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2001,Agaricia_agaricites_complex,0.04
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2002,Agaricia_agaricites_complex,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2003,Agaricia_agaricites_complex,0.28
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2004,Agaricia_agaricites_complex,0.04
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2005,Agaricia_agaricites_complex,0.19
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2006,Agaricia_agaricites_complex,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2007,Agaricia_agaricites_complex,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2008,Agaricia_agaricites_complex,0.02
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2009,Agaricia_agaricites_complex,0.05
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2010,Agaricia_agaricites_complex,0.02
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2011,Agaricia_agaricites_complex,0.17
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2012,Agaricia_agaricites_complex,0.07
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2013,Agaricia_agaricites_complex,0.2
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2014,Agaricia_agaricites_complex,0.02
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2015,Agaricia_agaricites_complex,0.07
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,1999,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2000,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2001,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2002,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2003,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2004,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2005,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2006,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2007,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2008,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2009,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2010,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2011,Agaricia_fragilis,0
